research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Towards best practices in AGI safety and governance,Evaluator 1,gp_relevance,90,80,100,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,merits_journal,4,3.5,4.5,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,journal_predict,3.5,3.1,4,,2025-06-05T11:52:44.618-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,overall,50,30,80,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,claims,40,20,60,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,adv_knowledge,50,40,90,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,methods,30,10,50,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,logic_comms,65,50,80,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,open_sci,30,15,45,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,real_world,60,50,70,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,gp_relevance,60,50,70,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,merits_journal,4.5,3.5,5.0,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 2,journal_predict,5,5,5.0,,2025-06-05T11:47:45.024-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,overall,50,40,60,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,claims,20,15,25,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,adv_knowledge,60,50,70,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,methods,20,15,25,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,logic_comms,50,41,60,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,open_sci,95,90,100,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,real_world,90,80,100,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,gp_relevance,90,80,100,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,merits_journal,3.5,3,4.0,,2025-06-05T11:44:01.660-04:00
Global potential for natural regeneration in deforested tropical regions,Evaluator 1,journal_predict,5,5,5.0,,2025-06-05T11:44:01.660-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,overall,90,86,94,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,claims,92,85,95,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,adv_knowledge,88,82,94,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,methods,92,88,96,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,logic_comms,92,87,95,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,open_sci,88,84,92,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,real_world,88,80,92,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,gp_relevance,88,80,92,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,merits_journal,4.5,4.3,4.7,,2025-06-05T11:39:57.514-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 2,journal_predict,4.4,4.2,4.6,,2025-06-05T11:39:57.514-04:00
Stagnation and Scientific Incentives,Daniel Lee,overall,70,55,85,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,adv_knowledge,,67,,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,methods,,25,,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,logic_comms,80,70,90,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,open_sci,50,40,60,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,real_world,50,40,60,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,gp_relevance,50,40,60,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,merits_journal,3,2.3,3.7,,2025-06-05T11:34:00.446-04:00
Stagnation and Scientific Incentives,Daniel Lee,journal_predict,3.5,3,4.0,,2025-06-05T11:34:00.446-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,claims,45,40,50,,2025-06-05T11:24:54.699-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,overall,60,45,90,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,adv_knowledge,67,60,70,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,methods,55,50,60,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,logic_comms,51,50,55,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,open_sci,50,85,95,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,real_world,80,70,89,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,gp_relevance,80,70,89,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,merits_journal,4.2,3.5,4.9,,2025-06-05T11:19:32.776-04:00
Urban Forests: Environmental Health Values and Risks,Evaluator 1,journal_predict,4.2,3.5,4.9,,2025-06-05T11:19:32.776-04:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,overall,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,claims,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,adv_knowledge,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,methods,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,logic_comms,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,open_sci,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,real_world,,,,,2025-02-21T13:40:45.180-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,gp_relevance,,,,,2025-02-21T13:40:45.180-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,overall,85,80,90,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,adv_knowledge,75,70,80,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,methods,95,90,100,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,logic_comms,95,90,100,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,open_sci,85,80,90,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,real_world,75,70,80,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,gp_relevance,75,70,80,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,merits_journal,4.5,4,5.0,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 2,journal_predict,4,3.5,4.5,,2025-02-21T13:25:16.667-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,overall,80,65,95,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,adv_knowledge,70,50,90,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,methods,90,85,95,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,logic_comms,90,85,95,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,open_sci,90,85,95,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,real_world,80,70,89,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,gp_relevance,80,70,89,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,merits_journal,4.2,3.5,4.9,,2025-02-21T13:18:42.011-05:00
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Evaluator 1,journal_predict,4.2,3.5,4.9,,2025-02-21T13:18:42.011-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,overall,90,80,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,claims,92,85,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,adv_knowledge,98,95,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,methods,88,75,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,logic_comms,100,100,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,open_sci,100,100,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,real_world,95,90,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,gp_relevance,95,90,100,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,merits_journal,4.7,4.5,5.0,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 2,journal_predict,4.7,4.5,5.0,,2025-02-17T11:31:38.856-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,merits_journal,4.5,4,5.0,,2025-02-17T11:30:19.790-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,claims,85,75,95,,2025-02-17T11:26:12.847-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,overall,85,80,90,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,adv_knowledge,90,89,91,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,methods,80,70,90,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,logic_comms,85,75,95,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,open_sci,25,10,40,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,real_world,85,80,90,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,gp_relevance,85,80,90,,2025-02-17T11:19:28.266-05:00
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,Evaluator 1,journal_predict,4.5,4,5.0,,2025-02-17T11:19:28.266-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,real_world,80,70,90,,2025-02-17T11:17:14.309-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,gp_relevance,80,70,90,,2025-02-17T11:17:14.309-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,open_sci,80,75,85,,2025-02-17T11:16:48.345-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,logic_comms,90,85,95,,2025-02-17T11:16:21.767-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,adv_knowledge,90,85,95,,2025-02-17T11:15:12.077-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,methods,65,60,70,,2025-02-17T11:15:12.077-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,claims,70,65,75,,2025-02-17T11:15:04.722-05:00
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Evaluator 2,overall,80,70,90,,2025-02-17T11:13:38.725-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,adv_knowledge,88,78,98,,2025-01-02T08:46:56.513-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,claims,80,72,88,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,methods,78,68,88,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,logic_comms,79,71,87,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,open_sci,62,52,72,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,real_world,90,85,95,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,gp_relevance,90,85,95,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,merits_journal,3.9,3.5,4.4,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,journal_predict,4.5,4,5.0,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 2,overall,83,73,93,,2025-01-02T08:46:43.340-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,adv_knowledge,95,90,100,,2025-01-02T08:38:14.604-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,methods,85,80,90,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,logic_comms,84,75,90,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,open_sci,75,60,90,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,real_world,95,90,100,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,gp_relevance,95,90,100,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,merits_journal,4.3,3.7,4.8,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,journal_predict,4.5,4,4.8,,2025-01-02T08:36:16.904-05:00
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Evaluator 1,overall,90,85,95,,2025-01-02T08:36:16.904-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,overall,71,27,87,,2025-01-02T08:31:16.950-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,adv_knowledge,81,56,96,,2025-01-02T08:31:06.433-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,claims,79,16,90,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,methods,75,88,33,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,logic_comms,88,64,95,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,open_sci,89,76,99,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,real_world,65,18,89,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Gregory Lewis,gp_relevance,60,40,75,,2025-01-02T08:31:00.457-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,adv_knowledge,65,30,100,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,methods,60,45,75,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,logic_comms,50,30,70,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,open_sci,60,35,85,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,real_world,70,50,90,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,gp_relevance,90,80,100,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,merits_journal,4.5,3,5.0,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Yassin Alaya,journal_predict,2,0,4.0,,2025-01-02T08:28:05.775-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,adv_knowledge,75,65,85,,2025-01-02T08:24:11.485-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,claims,85,70,90,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,methods,75,65,85,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,logic_comms,85,70,90,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,open_sci,90,80,95,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,real_world,75,65,83,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,gp_relevance,75,65,83,,2025-01-02T08:20:58.168-05:00
The Returns to Science In the Presence of Technological Risks,Mike Hinge,overall,80,60,88,,2025-01-02T08:20:58.168-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,merits_journal,4.5,4,5.0,,2024-11-24T13:25:14.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,merits_journal,3.5,3,4.0,,2024-11-24T13:20:52.296-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,claims,90,80,100,,2024-11-24T13:20:09.236-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,adv_knowledge,80,70,90,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,methods,85,75,95,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,logic_comms,95,90,100,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,open_sci,90,80,100,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,real_world,95,90,100,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,gp_relevance,95,90,100,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 2,overall,90,80,100,,2024-11-24T13:19:37.566-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,adv_knowledge,85,75,95,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,methods,85,75,95,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,logic_comms,85,75,95,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,open_sci,85,75,95,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,real_world,95,90,100,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,gp_relevance,95,90,100,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,overall,87,77,97,,2024-11-24T13:18:24.851-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,overall,87,77,97,,2024-11-24T13:17:26.855-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,gp_relevance,95,90,100,,2024-11-24T13:17:06.960-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,open_sci,85,75,95,,2024-11-24T13:16:19.257-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,real_world,95,90,100,,2024-11-24T13:16:19.257-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,methods,85,75,95,,2024-11-24T13:15:31.461-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,logic_comms,85,75,95,,2024-11-24T13:15:19.465-05:00
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",Evaluator 1,adv_knowledge,85,75,95,,2024-11-24T13:12:48.890-05:00
Willful Ignorance and Moral Behavior,Romain Espinosa,adv_knowledge,85,80,90,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,methods,85,80,90,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,logic_comms,85,80,90,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,open_sci,50,50,50,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,real_world,90,85,95,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,gp_relevance,100,100,100,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Romain Espinosa,overall,88,83,93,,2024-09-24T15:37:52.731-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,overall,90,75,96,,2024-09-24T15:37:27.207-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,real_world,75,33,92,,2024-09-24T15:37:00.900-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,gp_relevance,75,33,92,,2024-09-24T15:37:00.900-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,open_sci,75,33,92,,2024-09-24T15:36:22.085-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,logic_comms,75,33,92,,2024-09-24T15:36:04.129-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,methods,60,20,80,,2024-09-24T15:35:31.305-04:00
Willful Ignorance and Moral Behavior,Joshua Tasoff,adv_knowledge,75,33,92,,2024-09-24T15:34:35.367-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,overall,40,30,50,,2024-09-24T15:19:11.529-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,real_world,50,40,60,,2024-09-24T15:17:49.858-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,gp_relevance,50,40,60,,2024-09-24T15:17:49.858-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,logic_comms,70,60,79,,2024-09-24T15:16:40.499-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,open_sci,80,70,90,,2024-09-24T15:16:40.499-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,methods,25,15,35,,2024-09-24T15:16:36.240-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,adv_knowledge,25,15,35,,2024-09-24T15:15:44.330-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,open_sci,78,70,85,,2024-09-24T15:11:52.194-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,logic_comms,80,70,90,,2024-09-24T15:11:35.449-04:00
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,methods,21,10,33,,2024-09-24T15:08:01.494-04:00
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,adv_knowledge,70,65,75,,2024-08-15T13:29:40.784-04:00
