paper,metric,midpoint,lower_bound,upper_bound,rationale
BenYishay et al. 2024,claims_evidence,82.0,72.0,90.0,"Claims are specific (ag production, child nutrition, conflict gradients) and backed by event studies, fixed effects, and robust patterns. Pre-trend checks shown. Some secondary outcomes (ecology) rely on visual interpretation; causality on distal spillovers less tight."
BenYishay et al. 2024,methods,80.0,70.0,88.0,"Appropriate TWFE with heterogeneity-aware estimators; geospatial linkage; multiple data sources; distance bands. Remaining concerns: selection into sites, residual confounding, modest power for DHS subgroups, and limited mechanistic checks for distal spillovers and ecology."
BenYishay et al. 2024,advancing_knowledge,86.0,78.0,93.0,"Rare long-run evidence on small-scale irrigation in conflict settings, linking production, nutrition, and conflict with spatial spillovers. Provides durable-impact insights and highlights tradeoffs for practitioners. Fills a notable gap in Africa Sahel resilience literature."
BenYishay et al. 2024,logic_communication,83.0,73.0,90.0,"Clear narrative, figures, and event-study plots; transparent about limits and distributional effects. Some technical details deferred to supplements; a fuller discussion of alternative mechanisms and falsification tests could strengthen."
BenYishay et al. 2024,open_science,70.0,55.0,85.0,"Uses publicly accessible NDVI/NDWI, DHS, ACLED; methods described. Intervention geodata available on request rather than fully open; commercial VHR imagery not shareable; code/data packaging not fully standardized."
BenYishay et al. 2024,global_relevance,90.0,82.0,96.0,"High policy salience for climate adaptation, food security, and conflict in Sahelian contexts; directly informs donors/governments on small-scale irrigation benefits and tradeoffs. Generalizable to similar semi-arid riverine systems."
Bergeron et al. 2024,overall,86.0,80.0,91.0,"Ambitious theory-data synthesis linking zero-sum environments to demotivating beliefs with clear predictions tested in DRC and WVS. Strong coherence, extensive robustness, and interesting welfare vs well-being divergence. Limits: largely observational (associational), PCA-based constructs, and external validity/causality caveats."
Bergeron et al. 2024,claims_evidence,82.0,75.0,88.0,"Core claims are precise and mapped to testable predictions. Multiple samples, validation checks, and robustness support them. However, identification is correlational; mechanisms are inferred rather than causally pinned down, and some constructs rely on survey measures."
Bergeron et al. 2024,methods,77.0,70.0,84.0,"Evolutionary model is well-specified; empirical work uses careful index construction, fixed effects, validations, and robustness. Still, reliance on OLS with limited causal strategies; potential residual confounding and measurement error in perceived zero-sumness."
Bergeron et al. 2024,advancing_knowledge,86.0,80.0,92.0,"Introduces and empirically tests an evolutionary account of effort-suppressing beliefs; bridges anthropology, econ theory, and cross-country data. Offers new testable divergence between material welfare and well-being with policy-relevant insights."
Bergeron et al. 2024,logic_communication,91.0,86.0,95.0,"Very clear framing, definitions, and mapping from theory to empirics. Predictions summarized and matched to evidence; figures/tables effective; limitations acknowledged. Strong narrative coherence."
Bergeron et al. 2024,open_science,66.0,55.0,78.0,"WVS is public; DRC data/instruments and code availability not fully clear from text. Methods are transparent, but full replication packages and preregistration/multiplicity controls are not emphasized."
Bergeron et al. 2024,global_relevance,81.0,74.0,88.0,"High relevance for development, cultural economics, and policy discourse on competition and social beliefs. Results span low- and high-income contexts; offers guidance for interpreting zero-sum perceptions and outcomes, though policy prescriptions are indirect."
Bettle 2023,overall,75.0,65.0,83.0,"Clear, practically useful guidance on internal/external validity adjustments for CEAs. Synthesizes meta-research well and offers actionable heuristics and a worked example. Limited novelty and empirical validation; relies on expert judgment and secondary evidence. Strong for practitioner use within EA/global dev contexts."
Bettle 2023,claims_evidence,70.0,60.0,80.0,"Main claims are explicit (Type M/S, external validity) and supported by credible literature. Quantitative recommendations are reasoned but partly heuristic; some estimates extrapolate from fields with differing contexts. Would benefit from more systematic benchmarking and sensitivity analyses."
Bettle 2023,methods,68.0,58.0,78.0,"Methodological framing is solid (Gelman & Carlin, Vivalt, Duflo/Banerjee). Provides power-based rules, retrodesign use, bias checks. However, no new empirical tests; limited formal validation across case studies; some steps depend on subjective priors and rough adjustments."
Bettle 2023,advancing_knowledge,72.0,60.0,82.0,"Adds a structured, practitioner-oriented approach to discounting RCTs for CEAs and emphasizes power-driven inflation. Advances practice more than theory; useful for funders/evaluators. Incremental contribution relative to existing meta-research."
Bettle 2023,logic_communication,78.0,70.0,86.0,"Well organized, clear separation of internal vs external validity and Type M vs Type S. Concrete guidance and example. Figures and tables aid intuition. Some repetition and reliance on external links; a concise checklist or decision tree could improve."
Bettle 2023,open_science,55.0,40.0,68.0,"Cites sources extensively and suggests tools (retrodesign). Limited sharing of code/data, preregistration, or replication packages. A public library of discounts is mentioned but not fully integrated. Transparency good; reproducibility limited."
Bettle 2023,global_relevance,74.0,62.0,84.0,Highly relevant to global health/development CEAs and policy translation of RCTs. Emphasis on generalizability and scale-up effects is valuable. Less directly applicable outside impact evaluation domains or where RCTs are sparse.
Bhat et al. 2022,overall,90.0,84.0,95.0,"High-quality long-run follow-up of psychotherapy RCTs in India. Strong, policy-relevant findings on persistent mental-health impacts, careful behavioral measurements, and expert-forecast component. Transparent analyses and multiplicity control. Some limits: attrition, external validity, and null economic outcomes."
Bhat et al. 2022,claims_evidence,88.0,82.0,93.0,"Main claims are clear and well-bounded: persistent depression reduction (HAP), no long-run economic gains, changes in beliefs/preferences. Evidence from preregistered RCT follow-up, validated PHQ-9, multiple robustness checks. Appropriate nuance on THPP nulls. Remaining concerns: self-report outcomes, attrition, limited power for some nulls."
Bhat et al. 2022,methods,85.0,78.0,91.0,"Solid RCT design, pre-analysis plan, DML controls, FDR corrections, belief-updating structural estimation, robustness filters. Attrition balanced; machine-learning HTE explored. Limits: 76% follow-up, reliance on PHQ-9 screening tool, some exploratory mediation; external validity to other contexts uncertain."
Bhat et al. 2022,advancing_knowledge,92.0,86.0,96.0,Advances evidence on long-run psychotherapy effects in LMICs; quantifies months of depression averted and cost-effectiveness; novel behavioral-beliefs mechanisms; expert forecast comparison. Influential for global mental health and development economics.
Bhat et al. 2022,logic_communication,90.0,84.0,94.0,"Clear exposition, pre-specified primary families, careful interpretation of nulls, figures/tables informative, limitations discussed. Technical appendices thorough. Minor complexity in belief tasks may tax readers but presentation remains careful."
Bhat et al. 2022,open_science,68.0,55.0,80.0,Preregistration and detailed methods; extensive appendices. Data/code availability not clearly provided with the WP; replication package status unclear. Some proprietary elements (field data) may limit full reproducibility.
Bhat et al. 2022,global_relevance,90.0,83.0,95.0,Strong relevance to LMIC mental health policy and program design; cost-effectiveness estimates actionable. Null economic outcomes inform realistic expectations and integration with other interventions. Applicability highest to similar contexts (female-heavy samples).
Bhattacharya and Packalen 2020,overall,70.0,60.0,78.0,"Compelling, well-argued thesis linking citation incentives to stagnation, with clear conceptual model and suggestive empirics. Strong synthesis across literatures. Limited causal identification and reliance on illustrative cases temper overall strength."
Bhattacharya and Packalen 2020,claims_evidence,56.0,45.0,66.0,"Main claims are clear; evidence is a mix of literature synthesis, case studies (PCR/CRISPR), and prior text-mining work. Empirical demonstration of novelty vs impact is descriptive. Causality largely argued, not shown."
Bhattacharya and Packalen 2020,methods,50.0,40.0,60.0,"Simple conceptual model; descriptive analytics for novelty metric. Lacks preregistration, robustness, and formal causal strategies in this paper. Methods reasonable for a perspective piece but not rigorous empirics."
Bhattacharya and Packalen 2020,advancing_knowledge,66.0,55.0,76.0,Frames an influential narrative on incentives and proposes actionable novelty metrics. Advances discussion in science policy and measurement. Contribution is more agenda-setting than definitive.
Bhattacharya and Packalen 2020,logic_communication,82.0,74.0,90.0,"Clear structure, persuasive logic, helpful figures, well-motivated anecdotes, and transparent assumptions. Conclusions follow from premises; communication accessible to broad policy and academic audiences."
Bhattacharya and Packalen 2020,open_science,45.0,35.0,55.0,"Working paper accessible; methods described, but no new shared datasets or code here. Prior related work uses public vocabularies; reproducibility details are limited in this paper."
Bhattacharya and Packalen 2020,global_relevance,74.0,64.0,82.0,"High relevance for research policy, funding, and evaluation across fields and countries. Practical suggestions for funders, universities, and platforms. Less directly tied to specific global health or climate outcomes."
Bilal and Kaenzig 2024,overall,96.0,92.0,99.0,"Ambitious, carefully executed paper combining time-series identification with panel validation and structural mapping to welfare/SCC. Extensive robustness, strong empirical patterns, and large policy relevance. Remaining uncertainty on external validity and bold magnitudes prevents a perfect score."
Bilal and Kaenzig 2024,claims_evidence,94.0,88.0,97.0,"Core claims are explicit (global vs local temp impacts; SCC magnitude). Evidence includes multiple robustness checks, alternative samples, controls, and mechanisms via extremes. Some residual identification debate and linearity/extrapolation risks remain."
Bilal and Kaenzig 2024,methods,93.0,86.0,97.0,"Well-justified local projections, shock construction, controls, cross-validation in panel, alternative filters, VAR check, and sequence-space structural mapping. Reverse causality correction reasoned and small. Concerns: reliance on linearity, persistence assumptions, and aggregate data limits."
Bilal and Kaenzig 2024,advancing_knowledge,98.0,94.0,100.0,Substantial shift in estimated macro damages and SCC; reconciles discrepancy with prior local-temperature literature; links extremes mechanism; provides structural damages and policy implications. Likely to reshape research and policy debates.
Bilal and Kaenzig 2024,logic_communication,95.0,90.0,98.0,"Clear question, transparent assumptions, thorough appendices, figures, and sensitivity analyses. Logical flow from reduced-form to structural results. Complexity is high but explanations are careful and consistent."
Bilal and Kaenzig 2024,open_science,85.0,70.0,95.0,"Uses public, regularly updated datasets and provides detailed methodological appendix. Replicability appears high; exact code/data availability is not specified here, so score reflects uncertainty rather than shortcomings."
Bilal and Kaenzig 2024,global_relevance,99.0,96.0,100.0,"Direct implications for global welfare, SCC, and unilateral policy incentives. Strong salience for macro, climate policy, and international coordination. Broad applicability across regions and income levels."
Blimpo and Castaneda-Dower 2025,overall,79.0,72.0,86.0,"Well-executed RCT on informal firms’ taxation with clear findings: reduced extensive-margin participation but higher activity and revenues. Sound design, balance checks, ANCOVA, IV for knowledge uptake, theory to rationalize results. Limits: modest N, single-city context, missing tax-amount data, self-reports, mechanisms not definitively pinned, no prereg noted."
Blimpo and Castaneda-Dower 2025,claims_evidence,76.0,68.0,84.0,Main claims are explicit and tested. ITT effects on participation robust across specs; knowledge manipulation validated; heterogeneous patterns align with model. Evidence on tax revenue relies on many imputed zeros and missing receipts—interpret cautiously. Qualitative follow-up supports mechanisms but is not definitive.
Blimpo and Castaneda-Dower 2025,methods,71.0,63.0,79.0,"Randomization, balance, ANCOVA, IV-LATE for knowledge uptake, and heterogeneity are appropriate. Power is moderate; outcome measurement for revenue is noisy; missing data on tax payments; no explicit multiplicity control or prereg; potential spillovers not rigorously ruled out. Still, identification for main ITT is credible."
Blimpo and Castaneda-Dower 2025,advancing_knowledge,82.0,74.0,89.0,Novel focus on civic information as empowerment in informal sector taxation; counterintuitive and policy-relevant results that nuance assumptions about tax education. Extends literature beyond deterrence nudges; practical insights for LMIC revenue authorities on sorting and participation margins.
Blimpo and Castaneda-Dower 2025,logic_communication,78.0,71.0,85.0,"Clear motivation, context, intervention description, and theory consistent with results. Figures/tables helpful; reasoning transparent. Some sections lengthy; ancillary tests relegated to appendix could be better integrated; clarity around imputation choices could be tighter."
Blimpo and Castaneda-Dower 2025,open_science,46.0,35.0,58.0,"Methods and outcomes are described in good detail, but no explicit preregistration, analysis plan, code, or data availability noted. Replication facilitated by clear descriptions yet hindered by lack of shared materials at this stage."
Blimpo and Castaneda-Dower 2025,global_relevance,80.0,72.0,88.0,"High salience for tax capacity, informality, and MSME policy in LMICs. Actionable implications for taxpayer education design and auditing focus. External validity beyond Lomé plausible for similar settings, but institutional specifics limit broad generalization."
Bruers 2021,overall,55.0,40.0,68.0,"Interesting and policy-relevant topic with a creative elicitation design. However, strong hypothetical bias, extreme skew, small sample, and sensitive exclusion rules limit credibility of quantitative claims. Reasoned discussion and transparency about limitations improve value, but applied utility hinges on future replication with stronger designs."
Bruers 2021,claims_evidence,47.0,35.0,60.0,"Main qualitative claims (many think farm animals’ lives not worth living; chicken vs beef welfare costs) broadly supported. Quantitative magnitudes (very high mean WTA/kg) are fragile, sensitive to outliers and decisions, and acknowledged as such. Evidence sufficient for directional insights, not precise estimates."
Bruers 2021,methods,38.0,25.0,55.0,"Contingent valuation with pill scenario is inventive but highly hypothetical; WTA/WTP gaps, extreme outliers, modest N, limited power, and heavy reliance on exclusions/winsorization weaken inference. No preregistration; limited robustness checks; no behavioral incentive compatibility. Nonparametric tests appropriate but underpowered."
Bruers 2021,advancing_knowledge,62.0,50.0,75.0,"Pushes animal welfare economics toward explicit external cost quantification and explores policy interactions (carbon vs welfare). Novel representative-agent framing and relative WTP concept are useful. Despite limitations, advances discussion and offers hypotheses for future rigorous work."
Bruers 2021,logic_communication,68.0,55.0,80.0,"Clear setup, definitions, and careful caveats about bias and sensitivity. Logical derivations of welfare measures and policy implications generally consistent with results. Some sections long and occasionally speculative, but argumentation is transparent overall."
Bruers 2021,open_science,35.0,20.0,55.0,"No clear indication of shared data, questionnaire instrument, code, or preregistration. Methods description is detailed enough to roughly replicate survey, but full reproducibility seems limited without materials and data availability."
Bruers 2021,global_relevance,60.0,45.0,72.0,"High-stakes domain (animal welfare, meat policy, climate). Belgian sample limits external validity; results are primarily directional. Practical takeaways (risk of beef-to-chicken shift; flat tax concept) are globally relevant but require better-calibrated estimates."
Buntaine et al. 2023,overall,92.0,86.0,97.0,"Nationwide RCT leveraging administrative CEMS data; strong causal identification, mechanism and GE tests, substantial effects, and policy relevance. Minor limitations: external validity beyond China’s context and medium-run horizon."
Buntaine et al. 2023,claims_evidence,94.0,88.0,98.0,"Clear questions; ITT estimates with firm and province-day FE, clustered SEs; event studies and robustness checks; manipulation checks; mechanism experiments (visibility); GE via cross-randomization. Strong internal validity."
Buntaine et al. 2023,methods,93.0,87.0,97.0,"Well-justified design; prereg RCT ID; careful verification of violations; appropriate fixed effects and clustering; heterogeneity; falsification checks; IV corroboration. Remaining risks: medium duration, potential unobserved channels."
Buntaine et al. 2023,advancing_knowledge,90.0,82.0,96.0,"First large-scale experimental evidence on citizen participation via social media affecting enforcement and emissions, with GE. Bridges governance, environment, and social media literatures; practical insights for policy."
Buntaine et al. 2023,logic_communication,90.0,84.0,95.0,"Clear motivation, design diagrams, transparent assumptions, consistent conclusions; thorough appendices. Dense at times but logically structured."
Buntaine et al. 2023,open_science,75.0,60.0,85.0,RCT registry and data appendix. Uses administrative data not fully public; replication may require restricted access. Materials and scripts partially described.
Buntaine et al. 2023,global_relevance,92.0,85.0,97.0,"High relevance for pollution control, regulatory accountability, and gov-citizen interaction in LMICs; scalable and cost-effective pathways; quantified impacts on emissions and ambient SO2."
Carson et al. 2023,overall,82.0,75.0,88.0,"Well-executed discrete choice experiments with strong design, compelling heterogeneity, and policy relevance. External validity limited by simulated setting and response bias; lacks direct outcome linkage to realized scientific impact. Clear writing and solid robustness raise confidence."
Carson et al. 2023,claims_evidence,78.0,70.0,85.0,"Main claims are precise and supported by randomized score distributions, fixed-effects CL/GMNL models, and sensitivity checks. However, claims about funding reversals rely on simulations and repurposed datasets; causal link to downstream impact is inferred, not shown."
Carson et al. 2023,methods,77.0,70.0,84.0,"Appropriate DCE/BIBD, conditional logit with clustered SEs, multinomial/GMNL robustness, and heterogeneity via MeSH overlap. Concerns: 9% response, potential selection, self-reported hovering, external validity of hypothetical choices, bounded-scale artifacts."
Carson et al. 2023,advancing_knowledge,80.0,72.0,87.0,"Advances understanding of how reviewers value dissensus and variance, informing funding-rule reforms. Bridges evidence to actionable rules (tie-breaking with variance). Novel expert-vs-outsider dissensus result. Impact tempered by lack of agency field trials."
Carson et al. 2023,logic_communication,85.0,78.0,91.0,"Clear motivation, NIH process description, experimental protocols, and econometric exposition. Results logically connected to claims; limitations acknowledged. Figures/tables are interpretable; appendices deepen transparency."
Carson et al. 2023,open_science,60.0,45.0,72.0,Data appendix available and methods well-described. Full anonymized datasets/code availability not fully evident; reliance on third-party datasets with constraints. Replication feasible but may require access permissions.
Carson et al. 2023,global_relevance,84.0,76.0,90.0,"High relevance to major funders (NIH, NSF, global agencies) and philanthropic R&D. Offers implementable tweaks (variance weighting or tie-breaking). Direct practitioner utility; applicability beyond biomedicine with caveats."
Caviola et al. 2022,overall,88.0,82.0,92.0,"Ambitious multi-study program with large samples, pre-registration, clear constructs, and transparent analyses. Integrates moral psychology and population ethics with novel findings. Some reliance on MTurk/Prolific, hypothetical scenarios, and complex numeracy limits generality."
Caviola et al. 2022,claims_evidence,86.0,80.0,91.0,"Claims closely track presented evidence across nine experiments. Multiple converging manipulations and checks. Some interpretations (e.g., cognitive mechanisms) are suggestive rather than decisive; generalization beyond online US samples is limited."
Caviola et al. 2022,methods,84.0,78.0,89.0,"Pre-registered studies, attention/manipulation checks, large N, randomized designs, and robustness tests. Limitations: hypothetical judgments, measurement complexity (averages/totals), potential framing/scale assumptions, and exclusion rates."
Caviola et al. 2022,advancing_knowledge,85.0,79.0,90.0,"Pioneers systematic empirical work on population-ethical intuitions, informing debates on totalism/averagism/asymmetry. Provides actionable stylized facts and thinking-style effects; establishes a foundation for future work."
Caviola et al. 2022,logic_communication,90.0,85.0,95.0,"Well-structured argument, clear research questions and links to theory, careful caveats, and comprehensive discussion. Figures/tables effectively communicate results; limitations candidly addressed."
Caviola et al. 2022,open_science,96.0,92.0,99.0,"Strong OSF sharing of data, code, and materials; multiple pre-registrations; ethics approvals reported; full reporting of manipulations/measures/exclusions."
Caviola et al. 2022,global_relevance,72.0,60.0,82.0,"High relevance for moral philosophy, longtermism discourse, and value aggregation debates; indirect for immediate policy. Useful to practitioners in global priorities research; less direct for mainstream policy implementation."
Chuard et al. 2022,overall,82.0,74.0,89.0,"Clear question contrasting epidemiological accounting with reduced-form economics on measles. Strong data assembly and validation; careful comparisons; policy-relevant takeaways. Limits: age-unobserved cases, reliance on state-level proxies, and some counterintuitive epi-model results after cohort FEs. Still a valuable, credible contribution."
Chuard et al. 2022,claims_evidence,78.0,70.0,86.0,Claims are scoped to US measles cohorts and to comparing approaches. Evidence includes predictive checks for SIR-based susceptibles and multiple outcome domains with robustness to cohort FEs for reduced-form. Epi model’s null/negative results are frankly reported. Some identification hinges on mortality as severity proxy.
Chuard et al. 2022,methods,75.0,66.0,84.0,"Epi accounting model built on SIR with reporting-rate estimation; sensitivity analyses (reporting, susceptibility, age risk). Reduced-form aligns with established designs, with FE/trend specs and clustered SEs. Constraints: no state-level rollout rates, potential measurement error in DOB, ecological aggregation."
Chuard et al. 2022,advancing_knowledge,77.0,68.0,85.0,Clarifies when epidemiological accounting adds value vs. reduced-form severity proxies for long-run human capital. Helps reconcile literatures and guides future vaccine-impact work. Novel comparative framing; generalizability beyond measles is argued but bounded.
Chuard et al. 2022,logic_communication,86.0,80.0,92.0,"Well-structured, transparent assumptions, figures compare measures clearly, acknowledges caveats. Logical linkage from model validation to long-run outcomes. Minor density in appendices but overall very clear."
Chuard et al. 2022,open_science,62.0,50.0,74.0,"Uses public datasets (Tycho, Vital Statistics, Census/ACS) and details construction. However, no explicit code/data repository is provided; some inputs (state-level vaccination rates) not available and approximated nationally."
Chuard et al. 2022,global_relevance,80.0,70.0,88.0,Findings inform vaccine policy prioritization where child disease burden is high and underscore benefits even in high-income contexts. Relevance to global vaccination strategy and cost-benefit analysis; direct estimates are US-specific.
Clancy 2024,overall,85.0,78.0,90.0,"Rigorous, well-argued applied analysis integrating growth, health, and existential risk with extensive sensitivity checks. Clear framing, credible use of XPT forecasts, and thoughtful parameterization. Some reliance on contest forecasts and value assumptions limits certainty; model scope excludes some pathways."
Clancy 2024,claims_evidence,80.0,72.0,88.0,"Main claims are explicit; evidence combines historical trends, frontier estimates, and structured use of forecasting data. Characterization of uncertainty is careful. Dependence on elicited forecasts and strong utility assumptions reduces evidential strength versus empirical causal designs."
Clancy 2024,methods,75.0,68.0,84.0,"Transparent models, alternative specifications (closed-form and simulated), and robustness checks on key parameters (d, T, p, health modeling). Assumptions are sometimes stylized; limited empirical identification; some conversions (e.g., ROI scaling) hinge on debatable shares and lags."
Clancy 2024,advancing_knowledge,85.0,78.0,91.0,"Offers a novel, decision-relevant quantitative framework for metascience policy under bio risk; clarifies break-evens and tradeoffs practitioners face. Bridges econ growth, health, and risk in a usable way for philanthropy and policy audiences."
Clancy 2024,logic_communication,90.0,84.0,95.0,"Exceptionally clear structure, definitions, and decomposition. Logical consistency with explicit caveats. Extensive technical appendices support transparency. Minor complexity may challenge non-technical readers."
Clancy 2024,open_science,65.0,55.0,75.0,Report and appendices are detailed with formulas and parameter sources. Uses public datasets/estimates. Code availability is unclear; some steps would benefit from shared notebooks/data for replication.
Clancy 2024,global_relevance,80.0,72.0,88.0,"High-stakes topic with global implications for science, health, and catastrophic risk. Policy-relevant insights and quantified thresholds. Tailored partly to philanthropic decision-making may limit direct governmental uptake."
Crawfurd et al. 2023,overall,83.0,75.0,90.0,"Policy-relevant, carefully executed meta-analysis expanding beyond IQ to learning. Adjusts for publication bias and confounding, provides simulations and practical implications. Limits: reliance on observational studies, re-expression assumptions, sparse LMIC causal evidence. Strong contribution for global education and health policy."
Crawfurd et al. 2023,claims_evidence,78.0,68.0,86.0,"Claims are clear and appropriately qualified. Evidence synthesized from 47 studies with PET-PEESE, sensitivity, and specification curves. However, causal claims remain bounded; IV evidence limited and heterogeneity high. Solid characterization of uncertainty."
Crawfurd et al. 2023,methods,74.0,62.0,84.0,"Systematic search, robust variance meta-regression, publication-bias adjustments, Oster bounds, and harmonization steps. Re-expression of linear to log introduces potential bias; dependence on observational designs and imputed stats in places. Nonetheless, methods are transparent and competent."
Crawfurd et al. 2023,advancing_knowledge,85.0,75.0,92.0,"Integrates IQ with reading/math, quantifies global learning gaps attributable to lead, and maps interventions to expected gains. Provides actionable benchmarks for practitioners and donors. Moves debate toward education impacts of environmental health."
Crawfurd et al. 2023,logic_communication,86.0,78.0,93.0,"Clear narrative, well-structured, figures and appendices aid transparency. Assumptions and limitations are stated. Policy simulations trace logic from effect sizes to national outcomes. Minor complexity in re-expression methods may challenge some readers."
Crawfurd et al. 2023,open_science,65.0,50.0,80.0,Detailed appendices and procedures; cites algorithms and provides study lists. Data/code availability not fully evident for replication of all steps; some imputations not fully reproducible without shared code/data.
Crawfurd et al. 2023,global_relevance,92.0,86.0,97.0,"Directly targets LMIC learning shortfalls; quantifies potential gains from feasible interventions; highly relevant to ministries, donors, and NGOs across health and education. Strong alignment with global priorities."
Denkenberger et al. 2022,overall,70.0,60.0,78.0,"Timely, decision-relevant comparison of resilient foods vs AGI safety using Monte Carlo with sensitivity analyses. Credible framing, acknowledges theory/model uncertainty. However, heavy reliance on subjective priors, small biased survey, and speculative far-future valuations limit confidence. Useful for practitioners despite epistemic caveats."
Denkenberger et al. 2022,claims_evidence,62.0,50.0,72.0,"Core claims are explicit; evidence mixes literature, expert elicitations, and prior models. Sensitivity checks help, but survey n is small with potential demand/selection bias; independence assumptions and longtermist value metrics stretch evidential base. Conclusions are cautiously stated but still outrun support in places."
Denkenberger et al. 2022,methods,60.0,48.0,72.0,"Appropriate probabilistic modeling and importance analysis; clear parameterization. Yet many inputs are subjective; AGI submodel inherits dated assumptions; cross-model comparability imperfect; dependence structures omitted. Robustness explored, but multiplicity and prior justification could be stronger."
Denkenberger et al. 2022,advancing_knowledge,75.0,65.0,85.0,"Provides one of the first quantitative long-term cost-effectiveness comparisons of resilient foods vs AGI safety, highlighting underexplored resilience interventions and near-term urgency. Sparks methodological debate and practical prioritization despite uncertainties."
Denkenberger et al. 2022,logic_communication,68.0,58.0,78.0,Logical structure and transparent reasoning; limitations and uncertainties discussed at length. Some sections dense; occasional overreach from speculative inputs to strong comparative statements. Figures and tables aid understanding.
Denkenberger et al. 2022,open_science,65.0,55.0,75.0,"Model implemented in Guesstimate and Analytica with parameters described; links imply some accessibility. However, full replication materials and data (survey microdata, code) are only partly available/‘upon request’. Better versioning and preregistration would help."
Denkenberger et al. 2022,global_relevance,85.0,75.0,92.0,"Directly targets high-stakes global catastrophes with actionable insights for funding allocation and preparedness; emphasizes low-cost, scalable interventions and policy timing. High salience for disaster risk reduction, food security, and longtermist stakeholders."
Dullaghan and Zhang 2022,overall,72.0,60.0,82.0,"Thoughtful, decision-relevant forecasting with clear uncertainty, links to TEAs, and explicit cruxes. Transparent about limitations, conditioning, and aggregation. Useful for EA-aligned strategy. Not a full empirical study; small expert panel and limited horizon reduce confidence."
Dullaghan and Zhang 2022,claims_evidence,67.0,55.0,78.0,Main claims are clearly framed as probabilistic forecasts with context and signposts. Evidence synthesizes TEAs and expert panel inputs; acknowledges errors and biases. Lacks preregistered protocol and comprehensive sensitivity checks; limited external validation.
Dullaghan and Zhang 2022,methods,62.0,48.0,73.0,"Reasonable question design and odds-based aggregation. Clear about conditioning (no TAI). Small N forecaster panel, short time budget, some wording errors, limited robustness tests. Correlation analysis basic; reference-class discussion qualitative. Still adequate for exploratory forecasting."
Dullaghan and Zhang 2022,advancing_knowledge,71.0,58.0,82.0,"Clarifies realistic production timelines vs hype, informs funding priorities and research targets. Highlights key cruxes and levers (bioreactors, media, funding). Advances applied discourse in animal welfare and alt proteins; less novel for forecasting methodology."
Dullaghan and Zhang 2022,logic_communication,75.0,63.0,85.0,"Goals, assumptions, and limitations are explicit; figures and tables aid interpretation. Reasoning transparent, contrasts with consultancy projections, and articulates update triggers. Minor inconsistencies and lengthy narrative reduce crispness."
Dullaghan and Zhang 2022,open_science,68.0,55.0,80.0,"Shares anonymized forecasts, question list, and some code/data references; cites inputs extensively. Not a full preregistered protocol; some materials proprietary or external links. Replication feasible in spirit but not fully turnkey."
Dullaghan and Zhang 2022,global_relevance,73.0,60.0,85.0,"High practical relevance to animal welfare, philanthropy, and policy prioritization. Offers quantitative timelines and signposts useful for decision-makers. Less applicable outside alt proteins/EA contexts."
Epperson and Gerster 2024,overall,88.0,82.0,93.0,"Clever design linking WTP for info to treatment via IPW; lab-field coherence; short- vs long-run dynamics; clear, policy-relevant insights. Some limits: student sample, pandemic-truncated N, field context narrow, effect decay. Still a strong, credible applied behavioral contribution."
Epperson and Gerster 2024,claims_evidence,86.0,80.0,91.0,"Claims are specific and supported by preregistered analyses, lab RCT + field purchases, and robustness checks. Heterogeneity and decay well documented. Some uncertainty from classification of meals and external validity beyond canteens/students."
Epperson and Gerster 2024,methods,85.0,79.0,90.0,"Incentivized MPL, induced variation, IPW identification, placebo and alternative specs; transparent handling of WTP bounds. Limits: reduced sample vs plan, potential measurement ambiguity for meals, student setting, and finite horizon for dynamics."
Epperson and Gerster 2024,advancing_knowledge,88.0,82.0,93.0,Bridges lab willful-ignorance literature to field behavior; quantifies selection on responsiveness and decay; informs targeting/cost-effectiveness of info campaigns. Provides actionable lessons for NGOs/policy.
Epperson and Gerster 2024,logic_communication,84.0,78.0,90.0,"Clear structure, theory-to-empirics link, figures/tables informative, limitations discussed. Dense appendices; some complexity in weighting/propensity exposition may challenge non-specialists."
Epperson and Gerster 2024,open_science,70.0,60.0,80.0,"Preregistration, IRB, detailed appendices, methods transparency. Data/code availability likely constrained (administrative canteen data, NGO video edits); replication materials not clearly public."
Epperson and Gerster 2024,global_relevance,78.0,70.0,86.0,"Relevant to animal welfare, climate-related consumption, and design of information interventions broadly. External generalizability beyond German students/canteens uncertain; short-lived effects temper practical impact."
Fangwa et al. 2023,overall,88.0,82.0,93.0,"Strong randomized governance intervention with clear outcomes, careful DID/event-study, robustness, and useful auxiliary analyses. Practical relevance high. Limits: bundled treatment can’t be unbundled; external validity beyond DRC uncertain; some data limitations; no preregistration noted."
Fangwa et al. 2023,claims_evidence,85.0,78.0,91.0,"Main claims are precise (efficiency, mortality). Evidence from randomized assignment and DID with event-time plots, bootstrapped SEs, and robustness checks is compelling. Interview evidence is supportive but limited. Measurement and reporting constraints in LMIC context remain."
Fangwa et al. 2023,methods,86.0,80.0,92.0,"Design leverages randomization within PDSS, DID with fixed effects, event-study pre-trend checks, multiple outcomes, bootstrapping, and matched comparisons to outside group. Threats discussed. Limits: bundled components, potential data quality issues, no preregistration/multiplicity plan beyond q-values."
